50 dặm	fifty-mile
sự đối lập	antagonism
sự đối xử	treatment
sự dồn lại, tích lại	accrual
sự dữ dằn	fierceness
sự dự toán	estimation
sử dụng	use
sự e sợ	apprehension
sự gãy	fracture
sự ghi âm	audio
sứ giả	messenger
sự gia hạn	extention
sứ giả, người đưa tin	messenger
sự giận dữ	fury
sự giành được	acquisition
sự giàu có	wealth
sự giựt lùi	resiliency
sự há hốc miệng	gape
sự hạ xuống, gốc	descent
sự hài hòa	harmony
sự hài lòng	satisfaction
sự hạn chế	abridgment
sự hân hoan, thích thú	delight
sự hành động	action
sự háo hức	eagerness
sự hiện hình	wraith
sự hỗ trợ	backup
sự hòa tan	diluent
sự hóa thân	incarnation
sự hoan hô	ovation
sự hoanh nghênh, hoan hô nhiệt liệt	acclamation
sự hoạt hóa	activation
sự hướng dẫn	instruction
sự hút bám	adsorption
sự huyền bí	mystery
sự huyên náo	ruction
sự im lặng	silence
sự kén chọn	fastidiousness
sự khạc nhố	spit
sự khiển trách; làm cho không thấm nước lại	reproof
sự không bình thường	anomaly
sự không suy nghi	indiscretion
sự khủng bố	terror
sự khuyến khích	encouragement
sự kiểm kê	census
sự kiện	event, fact
sự kinh dị	horror
sự kinh hoàng, sự kinh ngạc	consternation
sự kinh ngạc	astonishment
sự kinh tởm	disgust
sự lạ lùng	peculiarity
sự lẩm bẩm	mutter
sự làm bực mình, sự làm phật ý	vexation
sự lãng trí	forgetfulness
sự lãnh đạo	leadership
sự lanh lẹ	alertness
sự lau	scour
sự liên lạc	touch
sự lôi cuốn	affinity
sự lớn dần lên	accretion
sự lựa chọn	choice
sự mập mờ	ambiguity
sự mất tinh thần	dismay
sự mau chóng	celerity
sự mờ	blur
sự mở rộng	extension
sự ngắn gọn	concision
sự ngây ngất	ecstasy
sự nghiệp	career
sự ngoại lệ	exception
sự ngừng lại	stoppage
sự nhầm lẫn	confusion
sự nhạy bén, sự nhảy cảm	acumen
sự nóng giận	temper
sự ồn ào	din
sự phá sản	bankruptcy
sự phản bội	treachery
sự phấn khích	excitement
sự phẫn nộ	outrage
sự phát triển	development
sự phòng thủ	defence
sự phụ thuộc	associate
sự quản lý	administration
sự quen thuộc	familiarity
sự quyến rũ	charm
sự rạn nứt	breakdown
sự rán sức	exertion
sự rộn ràng; rung động	thrill
sự sắc xảo	acuteness
sự sắp đặt	backdrop
sự sắp xếp	arrangement
sự sơ cứu	first aid
sự sở hữu	possession
sự suy thoái văn minh	decivilization
sự tàn ác	cruelty
sự tán thưởng	applause
sự tán thưởng và công nhận thành quả	accolade
sự táo bạo	audacity
sự teo	atrophy
sự tha tội, sự tha bống	acquittal
sự thách chiến	defiance
sự tham vọng	ambition
sứ thần Chúa	angel of the Lord
sự thận trọng	caution
sự than van	wailing
sự thật	truth
sự thích nghi	adaptation
sự thích thú	delight
sự thiếu	deficient
sự thờ ơ	apathy
sự thoái hóa	retrogression
sự thông tin, bộ phận chuyển kéo	conveyance
sự thụ động	passiveness
sự thử giọng	audition
sự thường xuyên	regularity
sự tiến động	precession
sự tiết lộ; mặc khải	revelation
sự tỏa rộng	the wide spread
sự tồn tại	existence
sự trả thù	venegeance
sự trượt, lướt	glide
sư tử	lion
sư tử 	lion
sự tức giận	anger
sự tương phản	contrast
sự tương tự	analogue
sự tưởng tượng	imagination
sự tương xứng, sự thích đáng	adequacy
sự tuyệt vọng	desperation
sự vâng lời	obedience
sự vay mượng	loan
sự vĩ đại	greatness
sự việc	the event
sự vui vẻ	zest
sự xem xét	consideration
sự xuất hiện, bề ngoài	appearance
sự xuất khẩu	export
sự xúc tác	catalysis
sự xung đột	strife
sủa	to bark
sữa	milk
sửa	to repair
sủa 	bark
sửa 	to correct
sửa chữa	repair, fix, mend
sửa đối	amend
sửa sang	mend
suất xắc	outstanding, remarkable
súc	log
sức	strength, power, force
sức khỏe	health
sức mạnh	strength
sức mạnh, oai phong	prowess
sức nóng	heat
sức quyến rũ	allure
súc sắc	dice
sức sống; quan trọng	vital
sùi 	to foam
sum họp	union, togetherness 
sụn	cartilage
sung	fig, cluster fig
súng	gun
sưng	swelling
sừng	horn
sưng 	to swell
sừng (hươu, nai)	antler
sùng bái	deify
súng đại bác	cannon
sùng đạo	devout
sung huyết	congestive
sửng sốt	daze
sung sướng	happy
súng trường	rifle
sung túc	affluence
suối	a water spring
sườn	side of man's chest, side, flank
sườn 	rib, sloping side of
sướng	happy, elated, pleasureable
sương giá	frost
sương mù	mist, fog
suông sẻ 	smooth
suốt	perpetual, thoughout, through all (time)
suốt đời 	lifetime
sụp đố	collapse
sụt sùi	sobbed sound
sưu tầm	collect
suy	to decline
suy giảm	decline
suy ngẫm	ponder, reflect
suy nghĩ	think
suy ra	arrive at (conclusion)
suy thoái	degrade backward, retrogress
sỹ quan hải quân	admiral
ta	i, me, my (superior(literary) level)
tá	dozen
tả	cholera
tạ	barbell
ta 	we
ta học tập 	we study
tấc	one tenth metre
tắc	to click (one's tongue)
tạc	carve
tác động	impact
tác dụng	effective
tác dụng phụ	side effect
tác giả	author
tác hại	harm
tắc kè hoa	chameleon
tắc nghẽn	congestion
tác phẩm	(art) work
tách	cup
tách rời	separate
tai	ear
tái	pale in color; semi-cooked
tài	talent, gift
tải	load
tại	at, in
tai 	ear
tái 	repeat (action), rare (meat)
tại 	at (location), because of
tái bút	postscript
tài chính	finance
tái cơ cấu	reconstruct
tái diễn	recur
tài giỏi	consummate
tai họa 	disaster
tài khoản	account
tài liệu	document
tai nạn	crash, accident
tài năng	talent
tại ngoại	bail
tái nhợt	cadaverous
tài sản	fortune, property, asset
tại sao	why
tại sao 	why
tài trợ	donate
tai ương	catastrophe
tại vì	because
tài xế	driver
tam	three
tám	eight
tâm	center; man's good heart; mind
tăm	bubble; trace; toothpick
tấm	sheet, classifier for sheet-like objects
tầm	range
tắm	bath
tằm	silkworm
tẩm	to soak
tạm	temporary
tâm 	center, heart, mind
tấm 	plate, unique classifier for platelike item
tầm 	range
tạm biệt	good bye
tấm che	the cover
tạm dừng	pause
tâm hồn	soul
tạm nghỉ	stop temporarily
tầm nhìn	sight range
tâm thần	mental state (ill)
tạm thời	temporary
tâm trạng	mood
tan	to dissolve, to melt, to thaw
tàn	processional parasol
tân	new
tấn	tons; standing position (in kung fu)
tận	ending, finished
tan 	dissolve
tấn 	ton
tản 	dissipation, scatter
tàn ác	cruel
tàn bạo	brutal
tân binh	rookie
tan chảy	melt
tấn công	attack, offensive, assault
tấn công bất ngờ	sudden attack
tán dóc	gossip, chatty
tàn nhẫn	ruthless
tàn phá	ravage
tản ra	scatter
tần số	frequency
tận tâm	devote
tán thành	concur, agree with
tận thế	end of the world
tán thưởng	applaud
tấn tới	improve, step forward 
tân ước	new testament
tang	mourning, death
tăng	surge, increase
tầng	deck
tảng	slab, block
tạng	diathesis
tăng 	increase
tảng băng	glacier
tâng bốc	flatter
tăng huyết áp	hypertension
tăng lên	rise
tầng lớp	grade, class, category
tăng tốc	accelerate
tàng trữ	store, include
tăng trưởng	grow, increase
tanh	tire-hoop
tánh	personal traits
tao	i, me
táo	apple
tảo	alga
tao 	I/me (superior)
tạo 	create
táo bạo	audacious, bold
tảo biển	algae
tạo ra	create, generate
táp	snap
tạp	poor, miscellaneous
tập	section
tập 	practice
tập ảnh	album
tạp chí	journal
tập hợp	gather
tập hợp lại	assemble
tạp nham	disparate
tập sự	probation
tập tin	file
tập trung	focus, concentrate
tập viết	writing
tát	slap
tất	socks
tắt	to switch off, to turn off
tật	blemish
tất cả	all
tất cả mọi thứ	everything
tật nguyền	handicap
tất nhiên	of course
tàu	train, large ship; Chinese
tẩu	opium pipe
tàu bay	aircraft
tàu chạy bằng hơi nước	steamer
tay	hand; a person (classifier)
tày	blunt-edged, to compare
tây	west
tẩy	to wipe out, to wipe off, to rub out (off)
tay áo	sleeve
tay bắt chó	dog-buster
tẩy não	brainwash
tay phải	right hand
tay trái 	the left hand
tẩy xóa	erase
tế	to run (ride at full gallop); to sacrifice, to worship
tệ	evil, social evil
tê 	numb
tệ 	bad, poor (situation, action)
tệ hơn	worse
tẻ nhạt	bland taste, uncaring feeling
tê tái 	numb deeply
tem	stamp
tên	name
tên cướp	bandit
tên hiệu	alias
tên lửa	missile
tên miền	domain
tên tội phạm	criminal
teo	shrink, reduce in size
tết	vietnamese lunar new year
tha	absolution
thà	rather
thả	to set free, to release, to let out
tha bống	pardoned
tha lỗi	excuse
tha thứ	forgive
tha tội	acquit, forgive
thả xuống	airdrop
thác	water rapid, waterfall
thác nước	waterfall
thạch cao	plaster
thách chiến	defy
thách thức	challenge
thai	fetus
thải	to discard, to eliminate, to discharge
thái cố	primeval
thái độ	attitude
thái nhỏ	mince
thai sản	maternity
tham	greedy; avaricious
thám	to spy
thăm	visit
thấm	to absorb, to suck
thầm	secret sneaking
thắm	deep, gorgeous
tham 	greedy, join
thầm 	silently
thậm chí	even as
tham chiếu	refer
thẩm định	appraisal
thăm dò	survey
thăm dò ý kiến	poll
tham dự	attend
tham gia	join, participate
thảm khốc	catastrophic, dire
thảm kịch	tragedy
thầm lặng	mute
thẩm mỹ	aesthetic, cosmetic
thâm nhập	penetrate
tham nhũng	corruption
thấm nước	absorbent
thẩm phán	judge
tham quan	sightseeing
thẩm quyền	authority
thẩm tách	dialysis
tham vấn	consult
tham vọng	ambition
thân	self, body
thần	god
thận	kidney
than 	to complain, charcoal
thần 	angel
thận 	kidney
thân cây	tree stalk, trunk
thần học	theology
thần kinh	nerve
thân mật	intimate, amicable
thân nhân	kin
thần thánh	divine
than thở	whine
thần thoại	myth
thận trọng	caution, cautious, deliberate
thần tượng	idol
than van	wailing
than vãn	whine
than vãn 	lament, moan and complain
thân xác	body
thân yêu	dear
thang	ladder
tháng	month
thăng	to promote
thằng	guy (degoratory)
thẳng	straight
thang 	ladder, portion (medicine)
tháng ba	March
tháng bảy	July
tháng chín	September
thẳng đứng	vertical
tháng hai	February
thằng hề	a clown, a fool
thang máy	lift
tháng một	January
tháng mười	October
tháng mười hai	December
tháng mười một	November
tháng năm	May
thằng ngốc	idiot
thằng nhóc	rogue
tháng sáu	June
tháng tám	August
thẳng thắn	candid, frank, outspoken
tháng tư	April
thanh	bar; tone, pitch; slat, piece, lear,
thánh	saint, holy
thành	becomes, (fort)
thanh 	elegant; rod, bar (window, iron, wood)
thanh bình	serene, peaceful
thành công	successful
thành hôn	married
thành kiến	prejudice
thánh kinh	bible
thành lập	constitute, establish
thành ngữ	idiom
thanh niên	young adult (17+), adolescent
thành phần	component
thành phố	municipal, city
thành ra	as it is
thanh tao	gracious
thanh thiếu niên	youths (teenager+)
thanh tra	inspect
thành từng mảnh	apart
thành viên	member
thao	coarse silk
thảo	to write, to draft
tháo 	remove
thảo luận	discuss
tháp	tower
thấp	low
thắp	to light, to burn
thập	10, cross (symbol)
thấp hơn	lower
thập kỷ	decade
thấp nhất	least
thập niên	10 years, decade
thắp sáng	lit
tháp tùng	accompany
thắt	constrict, fasten, tighten
thật	genuine, real
thất 	seven, to lose
thật 	real, truth
thất bại	failure, fail, defeat
thắt chặt	knotty
thất thường	capricious
thất vọng	disappoint(ment)
thau	brass
thầu	bid
thay	to replace, to substitute
thấy	see, witness, feel 
thầy	teacher, master,
thảy	all, every
thầy 	teacher
thầy bói	fortune teller
thay đối	modify, vary, change, alter
thầy giáo 	teacher
thây ma sống lại	zombie
thay thế	replace, alternate
thay vì	instead
thấy 	to see
thế	that
thề	vow
thẻ	card
thể	state; genre; aspect
thề 	swear
thể chất	physical
thể dục	exercise
thể dục nhịp điệu	aerobic
thế đứng	footing
thế giới	globe, world
thế hệ	generation
thể hiện	show, express
thế kỉ	century
thế kỷ	century
thê lương	dreary
thế nào	how
thế nào?	how?
thẻ tên	name card
thể thao	athletic
thê thiếp	concubine
thèm	to crave for
thêm	more, add, extra
thềm	veranda floor
thèm muốn	covet
thềm sân khấu	stage floor
thêm vào	additional
thẹn	shy
thèn thẹn	shy(ly)
theo	follow, according to
theo cách hóa học	chemically
theo dõi	trace, track
theo đuối	pursue
theo gương	imitate/follow example
thép	steel
thét	shriek
thết	to entertain, to treat to a feast
thêu	to embroider
thi	exam
thí	to risk, to sacrifice
thì	prime of youth
thị	decandrous persimmon
thì 	then
thì thầm	whisper
thị trấn	town
thị trấn 	town
thị trường	market
thị trưởng	mayor
thìa	spoon
thích	like, enjoy, fond, prefer
thích đáng	adequate, fitting
thích hợp	applicable, appropriate, compatible
thích nghi	adapt
thích thú	delighted
thích ứng	adapt
thiếc	tin
thiên	section, part
thiền	meditate
thiện	good, kind
thiện 	good nature and friendly
thiển cận	insular
Thiên Chúa	God above
thiên đỉnh	zenith
thiền định	meditated
thiên đường	heaven, paradise
thiên nhiên	nature
thiên tai	calamity
thiên tài	genius
thiên thần	angel
thiên văn học	astronomy
thiên vị	partial
thiêng liêng	sacred, divine
thiếp	card (visiting, wedding, invitation); (old literature)i/you for romantic female person
thiếp 	I/me/you for female romantic address (literary); card
thiết	to care for
thiệt	real, true
thiết bị	appliance, accessories
thiệt hại	damage
thiết kế	design
thiết lập	set(up), defined
thiết yếu	essencial
thiếu	deficient, lack
thiếu hấp dẫn	undesirable
thiếu kiên nhẫn	impatient
thiếu kinh nghiệm	inexperience
thiếu máu	anemia
thiếu nhẩn nại	impatience
thiếu niên	teenager
thiểu số	minority
thím	aunt (wife of father's younger brother)
thinh	silent, mum
thỉnh	to invite politely
thịnh	prosperous, thriving
thính giác	auditory
thính phòng	auditorium
thịnh vượng	prosperous
thịt	flesh, meat
thịt ba rọi	bacon
thịt bò	beef
thịt cừu	lamb
thịt lợn	pork
thịt quay	roast
thịt viên	meatball
thiu	to get stale
thô	rough, coarse
thỏ	rabbit
thơ	poetry; verse
thọ	to live long, to live to be
thờ	to worship
thở	breathe
thợ	workman
thơ 	verse
thơ ấu	childhood
thợ cắt tóc	barber
thợ chụp ảnh	cameraman
thở dài	sigh
thố dân	indian
thở hốn hển	pant, gasp
thô kệch	uncouth
thợ lặn	diver
thô lỗ	boorish, rude
thợ may	tailor
thợ mỏ	miner
thợ mộc	carpenter
thờ ơ	indifferent, apathetic
thợ rèn	blacksmith
thỏ rừng	hare
thô sơ	primitive
thơ thẩn 	wander
thô thiển	raw, backward, primitive
thợ thủ công	craftsman
thỏa hiệp	compromise
thoái hóa	degrade, retrogress, degenerate
thoải mái	comfortable
thoải mái 	comfortable, relax
thoảng	in a hint, a whiff of;
thoáng khí	airy
thoáng qua	brief glance/moment
thoát	escape
thoát 	escape
thóc	paddy
thọc	thrust, poke
thọc lét	tickling
thoi	to plunge, to fetch
thói	habit, practice
thôi	stop
thối	stink, rot
thỏi	bar
thổi	blow
thời	the time(once)
thói 	common practice, habit
thôi 	stop
thời 	time indicator
thời điểm	moment
thời đoạn	period
thời gian	time
thời gian 	time
thời gian cũ	old-time
thời hạn	deadline
thời kỳ quá độ	transitional period
thói quen	habit
thối rữa	decay
thời thanh niên	youth
thôi thúc	prompt
thời tiết	weather
thời trang	fashion
thối tù và	bugle
thôi việc	demit
thơm	fragrant, sweet-smelling
thốn thức	half-sob, fill with emotion
thông	to clear off, to unchock, to unclog to open
thông báo	notify, inform, notice
thông dâm	adultery
thông minh	smart, clever
thống nhất	unify
thông qua	adopt, approve, pass through
thong thả	leisurely
thông thạo	masterful, fluent
thông thường	usual
thông tin	information
thống trị	dominate
thốt ra	blurt
thu	collection
thú	pleasure, interest animal, beast, mammal
thù	hatre
thư	mail, letter
thứ	order, rank
thử	attempt, try
thư 	letter
thụ 	to receive
thử 	try
thứ ba	tuesday, third
thứ bảy	saturday, seventh
thứ chín	ninth
thú cưng	pet
thù địch	hostile
thủ đô	capital
thủ đoạn	devious
thụ động	passive
thư giãn	relax, chill
thử giọng	audition
thứ hai	Monday, the second
thu hẹp	narrow
thu hoạch	harvest
thu hồi	withdraw
thu hút	lure, attract
thư ký	clerk, secretary
thư ký bàn giấy	clerk
thủ lĩnh	leader
thư mục	bibliography
thứ mười	tenth
thứ mười hai	twelfth
thứ năm	fifth, Thursday
thu ngân	cashier
thử nghiệm	trial
thu nhập	income
thứ nhất	first
thu nhỏ lại	dwindle
thủ phạm	culprit
thứ sáu	sixth, friday
thứ tám	eighth
thụ thai	conceive
thu thập	collect
thu thập dữ liệu	collect documents
thủ thuật	trick
thủ tiêu	assassinate, murder
thú tội	confess
thứ tư	fourth, Wednesday
thủ tướng	prime minister
thư viện	library
thu xếp trước	prearrange
thua	to lose, to be defeated
thưa	to complain to, to report to
thừa	to comply with
thua 	lose, defeated
thừa 	excess
thừa kế	heir, inherit
thừa nhận	concede, admit
thừa nhận được	admissible
thuần	tamed, meek
thuận	favourable
thuần chủng	pure bred
thuần hóa	tame
thuật	method; to tell
thuật giả kim	alchemy
thuật viết chữ đẹp	calligraphy
thức	awake
thực	true, real
thúc 	to push, pester
thức 	wake
thực 	real, truth
thúc đẩy	promote
thực hành	practice
thực hiện	perform, execute
thực phẩm	food
thực tế	factual, actual, practical, realistic
thực thi	enforce
thực vật	botanic, plants, vegetables
thực vật học	botany
thuê	rent, hire, employ
thuế	tax
thuế quan	tariff
thụi	to hit, to plunge
thùng	crate, bucket, cask, barrel
thùng đánh kem	churn
thung lũng	valley
thùng rác	dustbin, garbage bin, wastebasket
thùng tròn	barrel
thuở	time, age, period
thuốc	medicine, medication, chemical solution
thuộc	belong, related to
thước	metre
thước Anh	yard
thuộc chó	canine
thuộc cơ thể	corporal
thuộc đám cưới	bridal
thuộc địa	colony
thuộc điện	electric
thuộc điền kinh	athletic
thuộc động mạch	arterial
thuộc giải phẫu	anatomic
thuốc giảm đau	pain killer
thuộc học thuật	academic
thuốc lá	cigarette
thuộc Mễ Tây Cơ	Mexican
thuốc mỡ	ointment
thuốc ngủ	barbiturate
thuốc nhuộm	dye
thuốc tẩy	bleach
thuộc trời	celestial
thuộc Trung Quốc	chinese
thuộc tuối 	of age
thuộc về	belong to, relate to
thuộc về bò	bovine
thuộc về chủng tộc	racial
thuộc về cơ khí	mechanical
thuộc về mặt trời	solar
thuộc về Mỹ	american
thuộc về tim	cardiac
thuộc về tố tiên	ancestral
thuốc viên	pill
thương	love; to care tenderly
thường	often, usually, normal
thưởng	bonus; to reward ; to award
thượng	upper, above
thường dân	civilian
thượng đế	deity
thương hại	compassionate
thương hiệu	brand
thường hơn	oftener
thương mại	relate to commerce, trade
thượng nghị sĩ	senator
thượng nghị viện	senate
thượng tá	colonel
thương tiếc	mourn
thường xuyên	regular, frequent
thút thít 	whimper
thủy	aquatic
thủy triều	tide
thuyền	boat
thuyền 	boat
thuyền buồm	sailboat
thuyền trưởng	captain
thuyền trưởng 	ship captain
thuyết	school of thought, philosophy
thuyết phục	compel, convince
tì	flaw, defect
tỉ	billion
tí 	little, a bit
tỉ mỉ	thorough
tia 	ray
tích	to store up, to accumulate
tích cực	positive
tích lũy	accumulate, gather
tích tụ 	accumulate, gather
tiếc	to regret, to be sorry
tiệc	banquet, party
tiệc đứng	buffet
tiêm	injection
tiềm ẩn	latent
tiềm năng	potential
tiềm tàng 	hidden potential
tiên	first
tiến	advance
tiền	money
tiễn	send off, saying goodbye
tiện	convenient, proper
tiên 	first, angel
tiến 	march forward, advance
tiến bộ	advance, progress
tiền chuộc	ransom
tiến độ	progress
tiện dụng	handy, useful
tiền gửi	deposits
tiến hành	proceed
tiền hoa hồng	commision
tiền lương	wage, salary
tiền mặt	cash
tiện nghi	comfort
tiền nhiệm	precious, fore
tiền nợ khất lại	arrear
tiền phạt	fine
tiến sỹ	doctorate
tiến thoái lưỡng nan	dilemma, difficult situation where any changes will have negative impact
tiền tố	prefix
tiền trợ cấp	bounty
tiền tuyến	battlefront
tiếng	sound
tiếng Anh	english
tiếng ồn	noise
tiếp	to procede, continue
tiếp biến về văn hóa	acculturate
tiếp cận	approach
tiếp giáp	contiguous
tiếp nhận	admitting
tiếp theo	next
tiếp tục	continue, resume
tiết	to secrete, to emit
tiết kiệm	save
tiết lộ	reveal, divulge
tiệt trùng	aseptic
tiêu	spend, used up; pepper
tiểu	small; minor; to urinate
tiêu chí	criteria
tiêu chuẩn	standard
tiêu cực	negative
tiêu đề	title
tiêu điểm	focal point
tiêu diệt	extermination
tiểu đường	diabetic
tiêu hóa	digest
tiểu học	primary
tiểu sử	biography
tiêu thụ	consume
tiểu thuyết	novel
tim	heart
tìm	find
tìm kiếm	seek, search
tim mạch	cardiovascular
tim mạch học	cardiology
tín	loyalty; faithfulness
tín dụng	credit
tin mừng	good news
tín ngưỡng	creed
tin nhắn	message
tin tức	news
tin tưởng	trust
tinh	sharp (mind)
tính	to calculate; character; nature of 
tình	love, bond, relationship
tĩnh	quiet, calm, tranquil
tỉnh	province
tính 	personality trait, character; to calculate
tĩnh 	awaken, serenity
tính a xít	acidic
tình anh em	brotherhood
tình bạn bè	felowship
tình cảm	affection
tinh chế	refine
tính chung lại	in summary
tình cờ	accidental
tình đồng bạn	fellowship
tĩnh dưỡng	rest/recoup in quiet
tỉnh giấc	wake up
tình hình	situation
tình hữu nghị	amity
tính khí	temper
tinh khiết	pure
tính kiêu căng	vanity
tĩnh mạch	vein
tính năng	feature
tính nghịch từ	diamagnetism
tình nguyện viên	volunteer
tỉnh táo	sober
tinh tế	exquisite
tinh thần	of mental/mind/spirit
tỉnh thức	arousal
tính toán	calculate, compute
tình trạng	condition, situation, state of (noun)
tình trạng hỗn loạn	anarchy, chaos
tình trạng thường xuyên vắng mặt	absenteeism
tính trung thực	fidelity
tính từ	adjective
tinh vi	delicate
tình yêu	love
tivi	television
tô	to colour, to trace; a big bowl
tố	nest
tỏ	to express, to show
tơ	silk, thread
tớ	i, me (amicable); a maid
tờ	sheet, classifier for sheet-like objects
tờ báo	newspaper
tố cáo	denunciate, accuse
tố chức	organization
tố chức giám sát	watch group
tô điểm	grace
tố giác	denounce, accuse
to lớn	huge
tơ lụa	silk
tò mò	pry, curious
tố ong	beehive
tố phụ	fathers
tờ rơi quảng cáo	brochure
tố tiên	ancestor, forebear
toa	train board/section
tỏa	to emit, to send out
tỏa 	radiate, spread
tòa án	court
tỏa rộng	the wide spread
tỏa sáng	shine, aglow
toa xe chở hàng	wagon
toạc	opened out
toan	to intend
toán	mathematic; a gang, group
toàn	whole
toàn bộ	whole, entire
toàn cầu	global, universal
toàn cầu này	this whole globe
toán học	mathematic
toàn thế giới	cosmopolitan
toan tính	plan, attempt, plot
tóc	hair
tộc	a family tribe
tốc độ	speed
tóc giả	wig
tóc ở cố	neck-hair
toe toét	huge grin
toét	to gape/cut open
tôi	i, me, mine(when follow noun)
tối	dark(ness), night
tỏi	garlic
tới	to come, to arrive, to reach
tội	sin, crime
tồi 	bad, lowlife
tội ăn trộm	burglary
tối cao	supreme
tôi chăm tôi học	I am diligent at learning
tôi cố tôi học	I strive to learn
tối đa	at most, maximum
tôi đi học	i go to learn/ i attend school
tội lỗi	sin, guilt
tối mờ mờ	dim
tội nhẹ	misdemeanor
tội phạm	crime
tối quan trọng	imperative
tôi sẽ	I will
tơi tả 	haggard, weary and torn
tồi tệ nhất	worst
tối thiểu	minimum
tới trước	forth
tôi xin lỗi	I'm sorry
tóm	to nab, to catch
tôm	shrimp
tởm	disgusting
tóm tắt	brief summary
tôn	to raise (status level)
tốn	to pay for
tợn	fierce
tốn 	cost, expense, pay
tôn giáo	religion
tôn nghiêm	sanctuary, holy, spiritual
tôn sùng	awe
tồn tại	exist, survive
tôn thờ	worship
tốn thương	damage, hurt
tôn trọng	respect
tống 	total, summary, gross
tổng cộng	total
tống hợp	sum, comprehensive
tống số	total
tốt	good, fine, well
tột cùng	ultimate
tốt hơn	better
tốt nghiệp	graduate
tốt nhất	best
tra	to fit in, to inspect
trá	disguised
trà	tea
trả	pay; to return, to give back
tra 	investigate
tra cứu	burrrow
trã đũa	get even, retaliate
trả lại	repay, pay back, render
trả lời	respond, answer, reply
tra tấn	torture
trả thù	revenge
trả tiền	pay
trắc	rosewood, kingwood
trách	to reproach for, to blame
trách 	blame
trách nhiệm 	responsibility
trai	young man, boy
trái	left
trải	to spread, to lay; to stretch out
trại	camp
trãi 	experiencing
trái cây	fruit
trái đất	earth
trải giường	bedspread
trái ngược	opposite
trái ngược nhau	opposite each other
trải ra	spread
trái tim	heart
trăm	hundred
trẫm	(literary) i (used by the king)
trạm	station
trầm ngâm	muse
trầm tích	sediment
trán	forehead
tràn	to overflow, to flood
trấn	town; restrain
trần	bare; ceiline
trận	battle, fight
trán 	forehead
tràn 	overflow
trận 	battle, attack of
trấn ải	defending frontier
trấn an	reassure
trận chiến	battle
trận đánh	battle
tràn ngập	overwhelm
trần nhà	ceiling
tràn qua	overflow
trần truồng	naked
trần tục	crude, earthly, mundane
trang	a page
tráng	to rinse, to coat a layer on
tràng	string of (sound); (old language) school
trăng	moon
trắng	white
trang điểm	makeup, decorate
trang nghiêm	solemn
trang phục	outfit, costume
trang trại	farm, ranch
trang trí	adorn, decorate
trạng từ	adverb
trang viên	manor, estate
trang web	web page
tranh	to compete, to fight for
tránh	avert, avoid, detour
tranh cãi	controversy
tranh chấp	dispute
tranh đấu	compete
tranh đua	rival
tranh luận	dispute, debate
trao 	hand over, exchange
trao đối	exchange
trao đối hàng hóa	barter
tráp	casket
trật 	wrong
trật tự	orderly
trâu	buffalo
trầu	betel
trầy	scratch
trầy xước	scratched
tre	bamboo
trễ	late
trẻ	young, junior
trễ 	late
trẻ con	child(ish)
trẻ em	young children
trẻ hơn	younger
trẻ mồ côi	orphan children
trẻ sơ sinh	newborn, infant
trệch	off track
trên	on, upon, above, upper
trên ấy	whereupon
trên đầu	overhead
trên đĩnh	on top
trên không	in the air
trên mặt đất	aboveground
trên tầng	on level
trên trời	in the sky
treo	hang
trèo	climb, mount, ascend
trêu	to tease; to nettle
trêu chọc	tease
trêu ngươi	tantalize
trí	mind
trị	to treat, to cure
trì 	sag down
trì hoãn	delay, postpone
trí nhớ	memory
trí thông minh	intelligence
trí tuệ	wisdom
trích	to extract, to take excerpts
trích 	extract
trích dẫn	citation, quote
triển khai	deploy
triển lãm	exhibit(ion)
triết	philosophy
triết học	philosophy
triều	dynasty; reign; tide; flood
triệu	million
triều đại	reign
triều xuống	ebb
trình	to submit, to show, to present, to report
trinh 	virgin
trình bày	present
trình diễn	perform
trình diễn đầu tiên	debut
trinh nữ	virgin female
trình tự	sequence
trìu mến	affectionate
tro	ash
trò	trick
trỏ	to point, to indicate
trở	to turn; to change
trợ cấp	allowance
trò chơi	game
trò chuyện	converse
trò đùa	prank, joke
trố hoa	blossom
trở lại	go back, return
trở lên	upward
trợ lý	assistant, aide
trở ngại	impediment
trở thành	become
trơ tráo	barefaced
trơ trẽn	brazen
tróc	to scale off; to come off
tróc 	peel off
trói	to rope, to tie, to bind
trôi	to drift, to float along
trời	sky
trội	dominant, superior
trói 	to tie
trôi 	to drift, float
trỗi 	to rise
trôi dạt	drift
trộm	theft
trộm 	theft, burglar
trộm cắp	theft, burglary
tròn	round
trôn	the bottom of a cup or bowl
trốn	hide, escape
trơn	slippery
trọn	fully, completely; entirely; all
trộn	mixed
tròn 	round
trốn 	hide, sneak
trong	in, within
trông	to mind, to look after
trống	vacant, blank, empty; drum
trồng	to grow, plant
trỌng	to think high of, to hold in esteem
trông 	look
trống 	blank
trồng cây	plant tree, planting
trọng điểm	key point
trong khi	while
trong khoảnh khắc	instantly
trong lúc	during
trọng lượng	weight
trông mong	expectant
trong nhà	indoor
trông nom	care taking, tend, look after
trong nước, nội địa	domestic
trong óc	mentally
trống rỗng	empty
trong số	among
trong suốt	throughout
trọng tài	umpire
trót	by mistake; accidentally
tru	howl
trú	reside, stay
trừ	to eliminate, to liquidate
trụ cột	pillar
trừ sâu	pesticide
trụ sở chính	headquarter
trưa	midday, noon
truất quyền	disqualify, overthrow
