Term	Definition
hỗn loạn	chaotic
hỗn loạn 	chaos
hôn mê	delirious, coma
hơn nữa	furthermore
hơn thế nữa	moreover
hóng	wait for; receive (cool air)
hòng	intend, aim; expect
hông	hip, flank
hỏng	bad, not working, spoil, fail
họng	throat
họp	meet(ing)
hộp	box
hợp	to suit; to fit; to accord
hợp 	compatible
hợp ca	chorus
hợp chất	compound
hợp đồng	contract
hợp kim	alloy
hợp lệ	valid
hợp lý	reasonable, logical, rational
hợp nhất	merge
hộp sọ	skull
hợp tác	cooperate, collaborate
hợp thành	composition
hộp thư	mailbox
hộp thức ăn	grub-box
hộp trà	caddy
hợp xướng	chorus
hợp, vừa	fit
hót	(of bird) to twitter
hốt	alarmed; to scoop up (with one's hands)
hột	seed
hớt bọt	skim
hột nhỏ	granule
hư	corrupt
hừ	Damn it!
hư 	corrupt, naughty, bad
hư hỏng	corrupt, decayed, rotten, spoiled
hú lên	howl
hứa	promise
hứa hẹn	engage, promises
huấn luyện viên	coach
hục	to addict oneself to
húc đầu	ram
huề	even, tie
huệ	lily (flower)
hủi	leprosy
hùm	tiger
hũm	puddle
hùng	hero, superman
hứng	motivated; to catch (falling object)
hung 	mean
hứng 	inspiration, spontaneous urge
hung ác	violent
hung dư	brutal
hung dữ	savage, aggressive and mean
hung hăng	rampant, aggressive and arrogant
hững hờ	aimless, careless about
hùng hồn	eloquently
hùng vĩ	mighty, breathtaking, grand
hương	incense; scent, perfume, fragrance
hưởng	to enjoy; to taste; to inherit
hướng 	direction
hướng bắc	north direction
hướng dẫn	instruct, guide
hướng đông	east direction
hưởng lợi	benefit, beneficiary
hướng nam 	south direction
hướng tây	west direction
hương thơm	flavor, perfume, scent
hương vị	taste, aroma
hướng xuống	downward
hươu cái	doe
hươu con	fawn
hươu đực	buck
hút	to suck in; lure, entice
hút bám	adsorb
hút cạn	depletion
hút thuốc lá	smoke
hữu	right (side)
hữu ích	useful, helpful
hủy	destroy
hủy bỏ	cancel
huy chương	medal
huy hiệu	crest
huy hoàng	splendid
huyền	jet-black
huyện	district
huyền bí	mysterious
huyên náo	uproar, ruction, disturbance, loud noises
huyền thoại	legend
huyết	blood
huynh	elder brother
huýt sáo	whistle
hy sinh	sacrifice
hy vọng	hope
ích kỷ	selfish
im	hush, quiet
im 	quiet
im lặng	silent
ít	little
ít hơn	less
ít nhất	least
ít xảy ra	infrequent
kẽ	crevice, opening
kế	scheme; stratagem
kẻ	3rd person (negative connotation)
kể	to tell; to relate
kệ 	shelf; to ignore
kẻ bại	loser
kẻ bắt giữ	captor
kẻ bất lương	rascal
kể cả 	including
kẻ chiến thắng	victor
kể chuyện	recitation, story telling
kẻ chuyên quyền	despot
kẻ cướp	robber
kế đó là	then is, next is
kẻ hành hạ	tormentor
kẻ hèn nhát	dastard
kế hoạch	plan
kể lại	narrate
kẻ lái xe	wheeler
kẻ lái xe chó	musher
kẻ làm con 	those who are children
kẻ lang bạt	journeyer, wanderer, vagabond
kẻ mắc lỗi	blunderer
kẻ man rợ	savage
kẻ móc túi	pick pocket
kẻ phản bội	traitor
kẻ quậy phá	antagonist
kẻ quê mùa	yokel
kẻ sống ở hang động	cave-dweller
kẻ tấn công	assailant, attacker
kẻ tham chiến	combatant
kẻ thù	adversary, emeny, foe
kẻ thù không đội trời chung	archenemy
kẻ tìm vàng	goldseeker
kế toán	accounting
kẻ tòng phạm	accomplice
kẻ trộm	thief
kể từ	since
kể từ khi	since
kẻ xâm lược	invaders, aggressor
kém	less, lacking
kẽm	zinc
kem đánh răng	toothpaste
kèm theo	enclose
kèn	trumpet, horn
kén chọn	fastidious
kênh	channel, canal, waterway
kênh mương	channel
keo	glue
kéo	pull, drag
kẹo	candy
kẹo cao su	gum
kéo dài	long-drawn, prolong
kéo mạnh	tug, jerk
kẹp	clip, clamp
kết	tie in knots; collect gather; conclude, wind up
kẹt	jam, get stuck
kết 	to link, to comnplete/end
kết án	convict
kết cục	denouement
kết hôn	marry
kết hợp	conjoint, combine
kết lại với nhau	cohere
kết luận	conclusion
kết nối	connect
kết quả	result
kết thúc	end, finish, conclude
kết trực tràng	colon
kết tủa	precipitate
kêu	exclamation
kêu 	call
kêu ẳng ẳng	yelp
kêu la	shout, clamor, roar
kêu lạch cạch	rattle
kêu lên	exclaim
kêu the thé	shrill
kêu van	moan and plead
kêu vang lên	din
khá	quite, fair
khả năng	ability
khác	other, different
khắc	engraving
khạc	clear throat out
khắc 	engrave
khác biệt	differ
khắc nghiệt 	harsh
khác nhau	different
khạc nhố	spit
khác thường	unusual, strange
khách	guest
khách hàng	client, customer
khách sạn	hotel
khai	declare
khai báo	declare
khai hoang	explore and reclaim land
khái niệm	concept
khai trí	edify
kham	to bear; to endure
khám phá	discover, explore
khan	husky; raucous; hoarse
khăn	towel, handkerchief, scarf
khấn	to pray
khẩn	to reclain (waste land)
khẩn 	emergency, call for help
khẩn cấp	urgent, emergency
khán giả	audience
khăn giầu	wrapped bag hang by the shoulder
khan giọng	hoarse
khan hiếm	scarce
khẩn khoản 	pleading
khẩn khoản yêu cầu	appeal
khăn tay	handkerchief
khăn trải giường	bed cover
khẳng định	definitely confirm
khánh	musical stone
khánh thành	inauguration
khao khát	aspire
khảo sát	survey
khắp	throughout
khát	thirst
khát khao	desirous
khâu	sew
khẩu hiệu	watchword
khấu trừ	deduct
khe	slot, slit
khế	contract; greement; a starfruit
khen	compliment, praise
khen ngợi	commend, praise
khen thưởng	reward
khéo	crafty, skillful
khéo léo	skillful
khét tiếng	notorious
khi	when, during, while
khí	gas
khỉ	monkey
khí 	air gas
khi đó	meantime, at that time
khí động lực	aerodynamic
khí hậu	climate
khi nào	when
khí nitơ	nitrogen
khía cạnh	aspect, angle, point of view, perspective
khích	encourage
khiếm khuyết	defect
khiêm tốn	humble, modest
khiến	to order
khiến 	cause to
khiển trách	criticize
khiếp 	frightened
khiếp đảm 	frightened
khiêu	to rouse, to stimulate
khiếu nại	complaint
khiêu vũ	dance
khinh	contempt, disdain, to despise
khinh 	contempt, look down
khinh khi	despise
khinh miệt	scorn
khịt mũi	snort
kho	depot
khó	difficult, hard
khô	dry
khố	loin-cloth
khố 	miserable
khô cằn	parched
khó chịu	unpleasant, nasty
kho chứa	storage
kho chứa vũ khí đạn dược	arsenal
kho hàng	warehouse
khó hiểu	difficult to understand, ambiguous
khó khăn	hard struggle
khô khan	arid
khó khăn hơn	harder
khó khăn nhất	hardest, toughest
kho lương thực	commissary
khó nhọc	toil, difficult work
khó quên	unforgetable
khổ sở	miserable
khô teo đi	crisp
khó tiêu	dyspeptic
khoa	faculty, course, subject
khóa	lock, buckle, Key
khoa học	science
khóa học	course
khoa răng	dentistry
khỏa thân	naked, nude
khoa tiết niệu	urology
khoác lác	bluster
khoai	root starch vegetable, potato; sweet potato
khoái	pleased; satisfied; joyful
khoai lang	yam
khoai tây	potato
khoan	broach
khoản	term
khoản 	term, item, article, clause
khoang	hold (of boat)
khoảng	approximately, about
khoang 	to drill, a cargo hold(of boat, ship, train)
khoảng 	about
khoảng cách	distance, gap
khoáng sản	mineral
khoảnh	plot of land
khoanh 	to draw a circle, a round piece of
khoảnh khắc 	split second
khóc	cry
khốc	intense; very (dry)
khốc liệt	fierce
khốc liệt hơn	fiercer
khóc nức nở	sob
khoe	to brag; to boast; to show off
khỏe	healthy
khoe khoang	bluster, boast, brag
khoét	carve a hole
khói	smoke
khối	chunk, block, batch, block
khỏi	from, away from
khởi	start
khởi 	start
khởi đầu	beginning
khởi động	start, initiate
khôi hài	funny
khối lượng	volume
khối lượng công việc	workload
khôi phục	restore
khom	bend back
khóm	pineapple
khôn	wise
khốn	in a crisis
khốn khố	miserable
khốn kiếp	damn
khôn lớn lên	grow up
khôn ngoan	wise, prudent
không	no
không 	not, do not
không ai	nobody
không bao giờ	never
không bị	is not (affected)
không bị ảnh hưởng	(to be) untouched, unaffected
không bị nao núng	(to be) uncowed
không bị nghi ngờ	(to be) unsuspected
không bị quấy rầy	(to be) unmolested
không bị thay đổi	(to be) unaltered
không bình thường	anomaly, unsual
không cái nào	none
không cảm động	inexorable
không cần phải	don't need to
không chải chuốt	unkempt
không chịu được	intolerable
không chơi 	do not play
không có	without, do not have (something)
không có cái gì	nothing
không có gì	nothing
không có tóc	hairless, bald
không cương	unbridled
không đáng tin cậy	dubious, untrustworthy
không dây	wireless
không đều	irregular
không đối	constant
không đồng đều	uneven
không đồng ý	disagree
không đúng	incorrect
không được thuần hóa	(to be) ill-tamed
không dứt	unending
không gian	space
không hạnh phúc	uncontent
không hiếu kỳ	incurious
không hòa hợp	discordant
không khí	ambiance, atmosphere, air
không lai	pure bred
không làm	don't
không làm hại	inoffensive
không lay chuyển	unswerving
khống lồ	enormous, giant, huge
không màu	achromatic
không may	unlucky
không mong đợi	unexpected
không mong muốn	unwonted
không ngừng, luôn, suốt, vĩnh viễn	perpetual
không nhìn thấy	unseen
không nơi nào, không ở đâu	nowhere
không phải là	is not
không quân	air force
không rõ ràng	unknown
không sợ hãi	fearlessly
không tán thành	disapprove, disagree
không thấm nước	waterproof
không thể	cannot, unable
không thể hiểu được	incomprehensible
không thể nào quên	unforgettable
không thể tách rời	inseparable
không thể thiếu	indispensable
không thể tránh khỏi	inevitable
không thích hợp	unfit
không thỏa đáng	unsuitable, unsatisfactory
không thực tế	unrealistic
không thương tiếc	merciless
không tiêu	indigestible
không tin	unbelieve
không ưa	dislike
không vừa lòng	not pleased
không vui	unhappy
không xác định	unidentified
khu	region
khu 	region, area
khu vực	area, district, region, zone
khua	to strike; to beat (an instrument)
khuân	to carry
khuất	hidden
khúc	part, section
khúc gỗ	log
khúc gỗ mới đốn	log
khuếch đại	amplify
khuếch tán	diffuse
khung	frame
khủng bố	terror
khủng hoảng	crisis
khủng khiếp	horrible, awful, abysmal
khủng long	dinosaur
khung vẽ	easel
khước từ	deny
khuôn 	mold
khuôn mặt	face
khuôn viên trường học	campus
khuya	late
khuyên	recommend
khuyên bảo	advise
khuyến khích	encourage
khuyết	defects, flaw
khuyết điểm	flaw, weakness
khuyết tật	handicapped
khuỷu	elbow
khuỷu tay	elbow
kia	other
kìa	that
kịch 	drama
kịch bản	script
kích cỡ	size
kích cở	size
kích động	provoke
kích hoạt	activate
kích thích	irritate, excite, stimulate
kích thước	size, dimension
kịch tính	dramatic
kiếm	sword; search
kiềm chế	refrain, curb
kiểm duyệt	censor
kiểm kê	collect cencus, inventory
kiểm lại	recount
kiểm soát	control
kiểm toán	audit
kiểm tra	test, check, examine
kiểm tra thứ tự	collate
kiến	ant
kiện	to sue; package; event
kiện 	to sue, a package
kiên gan	persist
kiến nghị	petition
kiên nhẫn	patience
kiến thức	knowledge
kiên trì	resilient
kiến trúc	architecture
kiến trúc sư	architect
kiêng	abstain
kiêng cữ	abstinent
kiếp	life; generation
kiếp sau	afterlife
kiệt	exhausted, worn out, clean out
kiệt sức	completely worn out
kiêu	arrogant; proud; haughty
kiếu	decline to come, decline attend
kiểu	manner
kiệu	carriage, palanquin
kiêu căng	arrogant
kiêu hãnh	pride
kiêu hảnh 	arrogant
kiêu ngạo	pompous
kilômét	kilometers
kim	needle, metal
kim cương	diamond
kim loại	metal
kín	closed, secret; private
kín 	sealed, closed, hidden
kín đáo	discreet
kín gió	airtight
kinh	religious text; (short for)fear
kính	glasses
kinh 	horrifying, bible (words)
kính đeo mắt	eyeglass
kinh dị	horror
kinh doanh	venture, business
kinh hãi	aghast
kính hiển vi	microscope
kinh hoàng	frighten, shock, stunned
kính nể	respect highly
kinh ngạc	astonish, shock and surprise
kinh nghiệm	experience
kinh sợ	dread, awe
kinh tạ ơn	benediction
Kinh Thánh	bible, scripture
kinh tởm	disgust
kịp	on time
Kitô	Christ
ký	to sign, kí(kilogram)
kỳ	incidence
kỹ	careful; painstaking
kỷ	small table
kỵ binh	cavalry
kỳ cựu	veteran
ký hiệu	denotation
kỷ luật	discipline
kỹ luật 	discipline
kỷ luật tự giác	self-discipline
kỹ lưỡng 	careful
kỹ năng	skill
kỳ nghỉ	vacation, holiday
kỷ niệm	memory, commemorate
kỳ quái	eerie
ký sinh trùng	parasite
kỹ sư	engineer
kỳ thi vấn đáp	quiz
kỹ thuật	technical
ký túc xá	dormitory
la	to shout; a mule
lá	leaf
là	is/are, equal to
lã	plain (water)
lả	exhausted
lạ	strange, weird
la 	yell
la bàn	compass
la cà 	loiter, linger, wander
lá cờ	flag
la hét	scream
lạ lùng	queer, strange, perculiar
la mắng	scold
lá phiếu	ballot
là thói thường	wonted
lá thư từ chức	resignation letter
là ủi	iron
lắc	shaken
lạc	to lose trace; to stray; to misplace
lạc đà	camel
lạc đề	digress
lạc hậu	old-fashioned, backward
lắc lư	to rock (motion)
lắc mạnh	agitate
lạc quan	optimistic
lách	spleen; to dodge; to swerve
lạch	creek
lách 	spleen
lai	crossbred
lài	slight sloped; Jasmine
lãi	interest
lại	again, return, around
lai 	crossbred, mix breed
lái 	drive
lãi suất	interest
lái xe	drive a vehicle
lái xe chó	drive sled dog 
lam	indigo-blue; deep blue
làm	do, make, cause
lăm	number 5 ending of a multiple digits (ex: 15, 25..)
lấm	stained
lầm	mistaken
lắm	very, many 
làm ấm	cosy
lẩm bẩm	mumble
làm bắn	splash
làm bẩn	smudge, befoul
làm bị thương	injure
làm biến dạng	deform
làm bối rối	discomfit, baffle
làm bớt	allay
làm cáu kỉnh	disgruntle
làm cháy sém	scorch
làm chệch hướng	deflect
làm cho buồn phiên	aggrieve
làm cho đầy lại	refil
làm cho phù hợp	match
làm chủ	own
làm chứng	testify, witness
làm đánh lạc hướng	distract
làm đau đớn	afflict
làm đen	blacken
làm dịu	soothe
làm đố	spill
làm đố nát	dilapidate
lạm dụng	abuse
làm gãy	break(up)
làm gì	what for(at the end of sentence)
làm giảm	reduce, detract
làm giảm bớt	alleviate
làm giảm độ ẩm	dehumidify
làm giãn	stretch
làm giàu	enrich
làm giẩy nảy người	electrify
làm hoảng sợ	frighten
làm hỏng	ruin
làm hư hỏng	spoil
làm khiếp sợ	awesome
làm khô nẻ	parch
làm kinh ngạc	amaze
làm lạnh	chill
làm lễ kỷ niệm	celebrate, commemorate
làm lóa mắt	dazzle
làm loãng	dilution
làm lu mờ	tarnish, efface
làm lúng túng	abash
làm mất nước	dehydrate
làm mất ốn định	destabilize
làm mất thể diện	abase, lose face
làm mới	renew, refresh
làm nặng thêm	aggravate
làm ngạc nhiên	astonish
làm ngập nước	drowse
làm nghẹt thở	choke
làm ngớ ngẩn	befuddle
làm ngột thở	smother
làm ngừng hoạt động	deactivate
làm nguội	to cool
lảm nhảm	babble
làm nhột	tickle
làm nhục nhã	reproach
làm ốm đau	ail
làm ơn	please
lạm phát	inflation
làm phát ngấy	cloy
làm phật ý	vexation, make someone not pleased
làm phiền	bother, annoyance
làm phiền muộn	depressed
làm quen	acquaint, accustom
làm rõ	clarity, clarify
làm rối	tangle
làm rung chuyển	convulse
làm sạch	purify
làm sai	botch
làm sáng	lightening, brighten
làm sao	how
làm sao thế	alright?
làm sao?	how?
làm sâu sắc	deepen
làm say đắm	captivate, bewitch
làm se	astringent
làm sống lại	revive
làm suy giảm	depress
làm tan	thaw
làm tăng thêm	augment
làm táo bón	constipate
làm tê liệt	numb
làm thành thô	coarsen
làm thất vọng	deject
làm thế nào	how
làm trật bánh	derail
làm trầy	abrade
làm tròn	rounding off
làm trọn	acquit
làm trục trặc	derange
làm u ám	darken
làm ướt sũng	drench
làm vất vả	drudge
làm vệ sinh	sanitate
làm việc	work
làm vui	amuse
làm yếu đi	weaken
lan	spread
lăn	roll
lần	(a) time, incidence
lằn	stripe, line mark, lane
lẫn	doting; forgetful
lẩn	hide, avoid
lặn	dive
lặn 	dive
lan can	banister
làn đường	lane
lần lượt	one by one 
lan rộng	widespread
lan tràn	overrun, overflow
lẫn vào	mingle
lang	wild dog
láng	smooth; glossy
làng	village
lăng	shrine
lắng	(of liquid) to deposit, to settle
lảng	to slip away; to sneak away; to turn away
lặng	silent, calm
lắng 	settle down
lặng 	settle down
lang bạc	wandering
lãng phí	waste
lang thang 	wandering
lãng trí	forgetful
lanh	quick, sharp (behavior)
lành	kind, well, healed
lạnh	cold
lành 	good natured
lãnh đạo	to lead
lạnh giá	frosty
lạnh hơn	colder
lanh lẹ	alert, agile
lạnh lẽo	chilly
lạnh lẽo 	cold
lanh lợi	shrewd
lạnh lùng	stern, cold
lành mạnh	wholesome
lãnh sự	consular
lãnh sự quán	consulate
lãnh thố	territory
lảnh thổ	demesne
lao	plunge
láo	lie
lào	Laos
lão	old
lao động	labor
lao vào	plunge, to rush in
lao xuống	dive
lấp	fill
lắp	install
lập	organize, founding, form
lấp 	fill
lập 	to form (a group, company...)
lấp đầy	fills
lập dị	eccentric
lặp lại	repeat
lấp lánh	sparkle, glitter
lắp ráp	reassemble
lát	pave
lạt	plain (taste)
lặt	to pick off vegetable leaves
lật đổ	overthrow
lát, miếng mỏng	slice
lau	wipe
làu	long
lâu	a long time
lâu dài	enduring
lâu/dài	long
lâu/dài hơn	longer
láy	to repeat; to reiterate
lây	contagious
lấy	fetch, take, get
lầy	swampy
lạy	to kowtow
lay động	dither
lấy được	derive
lấy lại	retrieve, regain
lây lan, tỏa lan	spread
lầy lội	boggy
lây nhiễm	infect
lấy vợ	get married
lê	pear; to drag on the ground
lẽ	reason
lề	margin, side edge
lễ	ceremony
lẻ	single, odd in number, alone
lệ	tear; regulation
lề đường	wayside
lễ hội	festive
lễ kỉ niệm	memorial
lễ kỷ niệm	anniversary
lễ kỷ niệm một trăm năm	centenary
lẽ phải	right reasons
lệ phí	fee
lễ rửa tội	baptism
lệch hướng	wrong way
lệch lạc	deviant
lem	to smudge; dirty
len	wool; to move among
lên	up
lẻn	sneak
lên 	up/on to
lên án	denounce, condemn
lên cao	surging
lên dây	windup
lên dốc	uphill
lên giường	go to bed
lên ngôi	accession
lên trên	aboard
lên trời	skyward
lệnh	command
lệnh giới nghiêm	curfew
leo	climb, creep
lẽo	not straight ; unstraight
lẻo	climb; to cut neatly
lết 	to drag oneself on the ground
lều	tent
lều 	tent
lêu lống 	idle, wandering about
lều?	tent?
lìa	cut off
lịch	calendar
lịch sự	polite
lịch trình	schedule
liếc qua	glance
liếm	lick
liềm	sickle, reaping-hook
liếm 	lick
liền	consecutive; (of wound) to heal; to skin over
liên hệ	contact
liên hợp	conjugate
liên kết	link, conjunction
liên lạc	communicate
liên minh	confederate, alliance, coalition
liên quan	relevant, concern, relate
liên quan đến	concerning
liên tiếp	continuity
liên tục	continuous, constant
liệng 	throw
liệt 	paralyze, to list
liệt giường	bedfast
liều	dosage
liệu	data; to manage; to calculate
liều (thuốc)	dose
liều lượng	dose
liệu, dù	whether
lim	ironwood
lính	soldier
lính cứu hỏa	fireman
lính cứu thương	medic
linh hoạt	versatile, flexible
linh mục	priest
lính trinh sát	scout
lĩnh vực	field, realm
lo	to bother; to worry; to attend to
lô	lot, parcel
lố	hole
lỗ	hole
lơ	to dissemble; to ignore
lọ	jar, vase
lờ	to pretend not to know; to cut
lỡ	to miss; to fail; to lose
lở	have a skin eruption, rash, eczema
lo 	worry
lộ 	street, to be discovered
lo âu	anxious, worry
lờ đi	overlook
lô hàng	parcel of good
lô hội	aloe
lo lắng	anxious, worry
lơ lửng	floating back and forth, undecisive
lỗ mãng	blunt
lò mố	butchery
lờ mờ	bleary
lỗ mũi	nostril
lò nướng	bakery
lò sưởi	fireplace
lố tai	ear
lỗ thông hơi	vent
lo tính 	concern
lô trống	vacant lot
lò xo	a springing coil
loa	speaker; horn; megaphone
lòa	dim
loài	kind; gender ; specied
loại	assortment, kind
loài 	specied, kind
loại bỏ	discard, eliminate, rid, remove
loài gây hại	pest
loài giống	breed
loài linh dương	antelope
loại trừ	exclude
loạn	to be in disorder
loạn 	chaos
loáng	flash, (of time) fly by, pass swiftly
loạng choạng 	staggered
lóc	to dissect; to cut up
lộc	(bot) bud
loè	to bluff
lóe 	flash
lóe lên	flare
lóe sáng	flash
loét	ulcer, (infection) eaten up
lôi	to pull, to drag
lõi	core
lối	style; way; manner
lồi	bulge out; prominent
lỗi	error, fault
lời	words, profit
lội	to swim; to wade
lợi	beneficial; to do good to
lợi 	interests
lời bình luận	commentary
lời cầu xin	plea
lời chào tạm biệt	good bye
lời chia buồn	condolence
lôi cuốn	fetching, pull in, attracting
lời giới thiệu	introduction
lời hứa	promise
lời hứa hôn	engagement promise
lợi ích	benefit
lời khen	compliment
lời khuyên	advice, counsel
lồi lên	bulging
lời mời	invitation
lời nguyền	curse
lời nhạc	lyrics
lời nhắc nhở	reminder
lợi nhuận	profit
lời nói đầu	preamble
lối ra	egress, exit
lợi thế	advantage
lỗi thời	outdated
lôi thôi 	untidy, unorganized
lời tiên đoán	divination, prediction
lời tuyên thệ	oath
lối vào	entrance
lõm	deep-set; sunken (eyes)
lốm đốm 	covered with spots
lớn	massive, big, large
lộn	to mistake; to confuse; to confound
lợn	pigs
lớn hơn	larger, greater
lớn lên	grow
lợn lòi đực	boar
lớn trưởng thành	full-grown
lộn xộn	mess, fuss, unorganized, problematic
lòng	lap
lông	fur
lồng	cage
lỏng	liquid
lọng	parasol
lòng biết ơn	gratitude
lông chim	quill, feather
lông gáy	mane
lòng ham muốn	lust, hunger for
long lanh	glitter
lóng lánh như bạc	silvery
lộng lẫy	splendid
lỏng lẻo	loose
lông mày	eyebrow
lông thú	fur
lòng thương	compassion
lòng thương xót	mercy
lông tiếng	dub
lòng trung thành	allegiant
lòng 	heart; soul; mind
lông, tóc	hair
lốp	tire
lớp	course, class, grade, level
lợp	to cover; to layer (a roof)
lớp học	classroom
lớp vỏ	crust
lọt	to fall into
lột	to skin; to peel off
lọt lòng	just out of womb
lột trần	denude
lũ	a crowd, flood, (group classifier put-down)
lư	urn
lữ đoàn	brigade
lũ lụt	flood
lũ trẻ	kids
lúa	(bot) rice; paddy
lụa	silk
lừa	fool, trick
lửa	fire
lừa 	to trick, a donkey
lửa 	fire
lừa bịp	deception
lựa chọn	choose
lừa đảo	abusive
lừa dối	delude, cheat
lừa gạt	deceive
lúa mạch	barley
lúa mì	wheat
lửa mừng	bonfire
lứa tuối	age
lùa vào bãi quây	corral
luận	essay
luận cứ	argument
luật	law; rule; code; regulation
luật 	law
luật chung	general rule
luật đa số	majority rule
luật sư	lawyer, attorney
lúc	at; moment; while
lực	force; strength
lực 	force, strength
lục địa	continent
lực hấp dẫn	attraction
lúc lắc	wag
lực lượng	force
lực lượng không quân	air force
lúc nào 	at which time
lui	back; to move back; to fall back
lủi	to slip a way
lụi	get stunted, wither away
lùi 	back
lùi lại	aback
lùi trở lại	aback
lúm đồng tiền	dimple
lùn	dwarf
lùng	scour
lưng	back 
lừng	resound
lung linh	flickering, dreamlike
lung tung	desultory, all over the place
luộc	boiled
lược	to prune; to baste
lưới	grid; net
lười	lazy; slothful
lưỡi	tongue, blade (sharp object)
lười 	lazy
lười biếng	lazy
lưỡi lê	bayonet
lưỡi liềm	crescent
lười nhác	to loaf
luôn	always, perpetual
luồn	threaded; to pass through
lượn	to soar; to hover; to glide
luồn 	to pass through by lower the body
luôn luôn	always
luống	vegetable and plantation bed/row
luồng	jetstream flow of air/wind/water
lương	salary; pay; wage
lượng	quantity
luồng 	flow stream
lưỡng cực	dipole
luồng gió	wind flow
lương hưu	pension
luồng khí	airflow
luồng khói	smoke flow
lương tâm	conscience
lương thực	ration
lướt	glide
lượt	time; turn
lượt 	a turn/instance , to filter
lụt	flood; inundation
lưu	save
lưu đày	exile
lưu thông	circulatory
lưu trữ	store
lưu vực	basin
lũy	rampart
luyến	long for, be reluctant to part with (to leave)
luyện	to train; to drill
luyện 	to train
luyện chó	dog-breakin'
ly	glass
lý	reason; ground
ly dị	divorce
lý do	reason
ly hôn	divorce
ly hợp	clutch
lý luận	logical reason(ing),
lý tưởng	ideal
ma	phantom
má	cheek, mother 
mà	that, which
mã	code
mả	tomb; grave
mạ	rise seeding 
mà 	that
ma quỉ	fiend
ma quỷ	diabolic, devil
mã số	code
ma tuý	narcotic
mắc	busy; occupied; engaged
mạc	screen ; curtain
mặc	wear; to ignore
mắc 	expensive, stuck with
mặc cả	bargain
mặc định	default
mặc dù	despite, although
mặc kệ	who cares, just ignore/leave (one)
mặc kệ 	ignore(d)
mặc khải	revelation
mặc quần áo	put on clothes
mách	to sneak; to tell tales
mạch	pulse
mạch lạc	coherent
mai	tomorrow; carapace; spade
mái	roof
mài	to whet ; to sharpen
mãi	 a long time; always for ever; for good; unceasingly, all the time; all the way
mái 	roof
mãi 	continuously
mái chèo	oar
mại dâm	prostitute
mãi mãi	forever, eternal
mài mòn	abrasion
mái nhà	house roof
mái vòm	dome
mâm	tray
mầm 	germ seed, bud
màn	rug
mận	plum
màn hình	screen
man rợ	savage, barbaric, barbarian
mãn tính	chronic
mang	bring, carry
máng	ditch
măng	bamboo shoot
mắng	chide
mảng	array
mạng	web
mang 	carry
mạng che mặt	veil
mang lại	bring
mạng lưới	net
mắng mỏ	berate
màng ngăn	diaphragm
mạng nhện	cobweb
màng nhĩ	eardrum
mang thai	pregnant
mảnh	piece
mạnh	strong
mánh khóe	trick
mảnh mai	slender
mạnh mẽ	vigorous, drastic, powerful, robust
manh mối	clue
mảnh vụn	wreckage, debris, splinter
mao	hair, fur (lông mao)
mào	comb; crest (of bird)
mạo hiểm	adventurous
mao mạch	capillary
mập mờ	ambiguous
mát	cool
mất	loss
mắt	eye
mạt	mites
mật	bile
mặt	face
mắt cá chân	ankle
mặt đất	ground
mặt đen	black-faced
mắt đỏ	red-eyed
mắt kính	eye glass
mặt lò sưởi	mantel
mát mẻ	cool
mắt nhìn 	eyes look
mật ong	honey
mất tinh thần	dismay, mentally set back
mặt trăng	moon
mất trí	demented
mặt trời	sun
mau	quick
máu	blood
màu	color
mẫu	specimen, sample
mẫu Anh	acre
màu be	beige
màu da cam	orange
màu đen	black
màu đỏ	red
màu đỏ tươi	scarlet
màu đồng	bronze
màu hồng	pink
màu mỡ	fertile
màu nâu vàng	auburn
màu sắc	color
màu tía	purple
màu trắng	white
màu vàng	yellow color
mẩu vụn	crumb
màu xám	gray
màu xanh	blue
màu xanh lá cây	green
máy	machine
mày	you
mây	cloudy
mấy	how much; how many; what; how?
may 	sew
mấy 	some
máy bay	aircraft, airplane, plane
máy chụp ảnh	camera
máy cưa lớn	saw-mill
máy đếm	counter
máy dò	detector
máy giặt	washer
máy kéo xích	caterpillar
may mắn	luck
máy may	sewing machine
máy nén	compressor
máy rửa bát	dishwasher
máy tính	calculator, computer
máy tính xách tay	notebook
mé	edge; border
mê	to faint; to lose consciousness
mẻ	chipped
mẹ	mother
mẹ chồng	husband's mother
mê mẩn	dote, infatuated
mê sảng	delirium
mẹ vợ	wife's mother
mềm	squishy, soft
mềm hơn	softer
mến	to love; to like; to be fond of
mến yêu 	love
mệnh	lot, fate; fortune
meo	musty
mèo	cat
mèo con	kitten
mèo hoang	wildcat
mép	edge; border ; margin
mép 	edge, border
mép bàn	edge of the table
mệt	tired; fatigued; weary 
mệt 	tired, exhaust
mệt mỏi	weary, wan, fatigue
mí	edge
mì	noodle
mí mắt	eyelid
mía	cane
miễn	to exempt; to excuse; to forgive
miễn cưỡng	reluctant
miễn nhiệm	dismiss
miễn phí	free, no charge
miễn thuế	exempt, tax free
miễn trách nhiệm	absolve
miếng	piece
miệng	mouth
miếng 	piece, a bite
miếng da bao cố tay	wristband
miếng gố	piece of wood
miệng núi lửa	crater
miếng to	dollop
miếng vụn	crumb
miết	jam
miếu	temple; shrine
miêu tả	depict
mịn	smooth
mình	me, you, we(us) between close friends or endearing pronoun to a lover or spouse
minh họa	illustrate
mít	jack
mô	tissue
mõ	wooden bell, bamboo tocsin
mố	peck
mồ	tomb; grave
mỏ	mine, beak
