above    以上、上面、上述
abreast	并肩、时髦的、及时了解
skeletons	骷髅
skin	皮肤
skins	皮肤
skirted	掠过
skulking	躲躲闪闪
sky	天空
skyward	天空
slack	松弛
slacked	懈怠
slake	熄灭
slammed	抨击
slanted	倾斜
slapping	打耳光
slash	削减
slashed	削减
slashing	削减
slaver	垂涎
slavered	垂涎
slaying	杀害
sled	雪橇
sledded	sledded
sled-dogs	雪橇犬
sleds	雪橇
sleek	光滑
sleep	睡觉
sleeping	睡眠
sleeping-robe	睡觉长袍
sleepy	困
slender	苗条
slept	睡
slice	片
slid	下滑
slight	轻微
slightly	略
slim	苗条
slipped	下滑
slippery	滑
slipping	滑倒
slipshod	懈
slope	坡
sloped	倾斜
slouch	伛偻
slovenly	邋
slow	慢
slower	慢
slowly	慢慢地
sluice	水闸
slyly	狡猾
small	小
smart	智能
smashed	被砸
smashing	砸
smell	气味
smelled	闻
smelling	闻
smells	气味
smiled	笑了
smiling	微笑
smothered	闷死
snags	碰壁
snake	蛇
snap	折
snapped	抢购
snapping	抢购
snaps	卡
snarl	搞乱
snarled	咆哮
snarling	狺
sneered	冷笑
sneering	嘲讽
sniffed	嗅
sniffing	嗅探
sniffs	嗅着
snort	哼
snow	雪
snowdrifts	雪堆
snowed	下雪
snowfall	降雪
snows	冬雪
snowshoe	雪鞋
snow-white	雪白
snub	冷落
snubbed	冷落
snubbing	冷落
snug	舒适
so	所以
soars	腾飞
sobbed	抽泣着
sobbing	呜咽
society	社会
soft	软
softened	软化
softer	更柔和
softly	轻轻
soft-sighing	软叹息
soil	土壤
sold	出售
soldier	士兵
solidarity	团结
solidly	扎实
soliloquized	自言自语
solitary	孤
sombre	阴沉
some	一些
somehow	不知何故
something	某物
sometimes	有时
somewhat	有些
somewhere	某处
song	歌曲
songs	歌曲
sons	儿子
soon	不久
sooner	越早
sore	疮
sorely	非常
sorrow	悲哀
sorry	遗憾
sort	分类
sorts	各种
sou	薮
sought	寻求
sound	声音
sounded	吹响
sounding	探空
soundly	香甜
sounds	声音
sour	酸
sourer	sourer
south	南
southland	南国
space	空间
spaces	空间
spacious	宽敞
spark	火花
sparks	火花
spasmodically	发作性地
spat	争吵
speak	说话
spear	矛
spears	矛
special	特别
sped	特殊教育
speech	发言
speed	速度
speedily	迅速
spent	花费
spider	蜘蛛
spik	SPIK
spilling	溢出
spinning	纺织
spirit	精神
spirit-broken	精神打破
spit	吐
spite	尽管
splash	溅
splashes	飞溅
splay	扇
splendid	辉煌
splintering	分裂
split	分裂
spluttered	啪啪
spoil	溺爱
spoiled	坏
spoke	辐
spot	现场
spouted	喷
sprang	窜出
spray	喷雾
sprayed	喷
spread	传播
spring	春天
springiness	富于弹性
springs	弹簧
springtime	春天
spruce-bough	云杉树枝
sprung	如雨后春笋般涌现
spurred	刺激
spy	间谍
squabbling	争吵
squarehead	squarehead
squarely	笔直
squatted	蹲在
squaw	斯阔
squirmed	蠕动
squirrels	松鼠
stable	稳定
stables	马厩
stage	阶段
stagger	错开
staggered	交错
staggering	踉跄
stalk	秆
stalked	大步
stamped	盖章
stand	站
standing	常设
stands	代表
standstill	停顿
star	明星
stars	星级
start	开始
started	开始
starting	开始
starts	开始
starvation	饥饿
starved	饿死
starves	饿死
starving	挨饿
state	国
stated	表示
stately	庄严
states	美国
station	站
statue	雕像
stay	留
staying	住
stead	代替
steadily	稳步
steal	偷
stealing	偷
stealthily	悄悄
steamer	汽船
steamship	轮船
steel	钢
steep	陡
steeped	浸淫
steeply	壁立
step	步骤
stepped	加强
steps	步骤
stern	凛凛
stick	粘
sticks	枝
stiff	僵硬
stiffness	刚性
still	仍
stinging	刺痛
stir	搅拌
stirred	搅动
stirring	搅拌
stirrings	蛛丝马迹
stole	偷
stomach	胃
stone	石
stood	站在
stooped	弯腰
stop	停止
stopover	停留
stoppage	堵塞
stoppages	停工
stopped	停止
stopping	停止
store	存储
stormed	冲
story	故事
stout	肥硕
stoutest	矮胖
stoutly	坚决
straight	直
strain	应变
strained	紧张
straining	紧张
strange	奇怪
strangely	奇怪
stranger	陌生人
strangers	陌生人
stranger's	陌生人的
strangle	扼杀
strangling	绞杀
strapped	拮据
straps	肩带
straw	稻草
strawberries	草莓
stray	迷路
stream	流
streamed	串流
streaming	流
streamlet	小溪
streams	流
street	街头
strength	实力
stretch	伸展
stretched	拉伸
stretches	延伸
stricken	灾区
strife	争吵
strike	罢工
striking	引人注目
strings	字符串
stringy	粘性的
stripped	剥离
strips	带
striving	努力
strokes	招
stroll	漫步
strong	强烈
stronger	更强
strongly	非常
strove	努力
struck	袭击
struggle	奋斗
struggled	挣扎
struggling	奋斗的
strung	串起
strutting	昂首阔步
studying	研究
stuff	东西
stumbled	迷迷糊糊
stuttered	结巴
style	风格
subdued	制服
submerged	湮
substitute	替代
subtle	微妙
subtler	微妙
succeed	成功
succeeded	成功
successful	成功
successfully	顺利
succession	演替
such	这样
suck	吮吸
sudden	突
suddenly	突然
suffer	受苦
suffered	遭遇
suffering	痛苦
sufficient	足够
suffocating	令人窒息的
suggested	建议
sullen	忧郁
sullenly	绷着脸
sum	总和
summer	夏天
summers	夏天
summit	首脑会议
sun	太阳
sundays	星期日
sun-dried	晒干
sun-kissed	太阳亲吻
sunland	桑兰
sunshine	阳光
superfluous	多余
superior	优越
supper	晚餐
supply	供应
suppose	假设
suppress	压制
suppressed	抑制
suppressedly	suppressedly
supremacy	霸权
supreme	最高
surcharged	征收附加费
sure	肯定
surely	一定
surface	表面
surge	浪涌
surged	飙升
surgeon	外科医生
surging	滔滔
surprise	惊
surprised	感到惊讶
surprising	奇怪
surrounded	包围
survey	调查
surveyed	受访
survive	生存
survived	幸存
surviving	幸存
survivors	幸存者
suspicious	可疑
swaggering	大摇大摆
swam	游
swarming	蜂拥
swart	黑黝黝的
swarthy	黑黝黝的
swayed	映着
swearing	誓师大会
sweater	毛线衣
sweating	大汗淋漓
sweep	扫
sweeping	广泛的
sweet	甜
sweethearts	情侣
swelled	膨胀
swelling	肿胀
swept	横扫
swift	迅速
swiftly	飞
swimmer	游泳
swimming	泳
swimming-tank	游泳坦克
swing	摆动
swinging	摆荡
swirl	漩涡
swollen	肿
swore	发誓
sworn	宣誓就职
swung	摇摆
sympathetically	同情
system	系统
tables	表
tail	尾
tails	尾巴
take	采取
taken	采取
takers	考生
taking	以
tale	故事
tale-bearing	故事息
talk	谈
talked	谈到
talking	说
tall	高大
tallow	脂
tam	担
tamed	驯服
tangible	有形
tangle	纠缠
tangled	紊
tank	坦克
target	目标
task	任务
taste	味道
tasting	品尝
taught	教
taunted	嘲弄
taut	拉紧的
teach	教
teachers	教师
teaching	教学
team	团队
team-dogs	团队狗
team-mates	队友
teams	队
tearing	撕裂
tears	眼泪
teasing	戏弄
teeth	牙齿
tell	告诉
telling	告诉
temper	脾气
temperature	温度
tempers	脾气
ten	十
tend	趋向
tenderfoot	新手
tendons	筋
tense	紧张
tent	帐篷
tents	帐篷
terms	条款
terrible	可怕
terribly	可怕
terriers	小猎犬
terrific	了不起
terrified	吓坏了
terrifying	可怕
terror	恐怖
terse	简洁的
test	测试
testimony	证词
than	比
that	该
that's	这是
thawed	解冻
thawing	解冻
the	本
theft	盗窃
their	他们的
theirs	他们的
them	他们
themselves	他们自己
then	然后
thenceforward	从此以后，
theory	理论
there	那里
thereafter	此后
therefore	因此
thermometer	温度计
these	这些
they	他们
they're	他们
thick	厚
thicket	灌木丛
thief	贼
thighs	大腿
thin	薄
thing	事
things	事情
think	认为
thinking	思维
thinks	认为
third	第三
thirst	口渴
thirsting	渴望
thirsty	渴
thirty	三十
thirty-five	35
this	这
thong	丁字裤
thorough	彻底
thoroughfare	通道
those	那些
though	虽然
thought	思想
thoughtless	粗心
thousand	千
thousands	数千
thrash	鞭打
thrashing	痛打
threading	螺纹
threatened	威胁
threatening	威胁的
threateningly	威胁
three	三
threw	扔
thrice	三次
thrill	颤抖
thrilling	惊险
throat	喉咙
throats	喉咙
throbbed	悸动
throbbing	悸动
throttled	节流
through	通过
throughout	各处
throw	扔
throwing	投掷
thrown	抛出
thrust	推力
thrusting	突刺
thumping	怦
thus	从而
tidal	潮汐
tide	潮
tides	潮汐
tide-water	水潮
tie	领带
tight	紧
tightened	收紧
tightening	紧缩
tightly	紧紧
till	直到
timber	木材
time	时间
time-card	时间卡
time-graven	时间雕刻
times	时
timid	胆小
tin	锡
tinkled	叮咚的铃声，
tips	技巧
tire	胎
tired	累
tireless	不倦
tissue	组织
tissues	组织
to	至
toes	脚趾
together	一起
toil	辛劳
toiled	劳苦功高
token	象征
tokens	令牌
told	告诉
tolerated	耐受性
toll	费
tom-fool	汤姆傻瓜
ton	吨
tone	音
tongue	舌头
tongues	舌头
tonic	补品
too	太
took	花
tools	工具
toothless	无牙
top	顶部
top-heavy	头重脚轻
topic	主题
topped	突破
tops	上衣
tore	撕
torment	折磨
tormentor	折磨
tormentors	折磨
torn	撕裂
tornado	龙卷风
tossed	扔
total	总
tote	手提包
totem-pole	图腾柱
tottered	瞧
touch	触摸
touched	感动
touches	触摸
toughest	最艰难
toward	对于
towed	拖走
town	镇
trace	追踪
traces	痕迹
track	跟踪
trade	交易
traded	交易
tradition	传统
tragedy	悲剧
tragic	悲惨
trail	线索
trails	小径
train	火车
trained	培训
trait	特点
traits	特征
tramping	流浪
trampled	践踏
transformation	转型
transformed	转化
transforming	转化
transient	短暂的
transportation	运输
trap	陷阱
traps	陷阱
travail	劳苦
travel	旅行
travelled	旅行
travellers	旅客
travelling	旅行
treacherous	奸诈
treacherously	背信弃义的
treachery	背信弃义
treasure	宝
treated	对待的
treatment	治疗
tree	树
trees	树
treetops	树梢
trembled	颤抖
trembling	发抖
tremendous	巨大
trespasser	侵入者
tribesmen	族人
trice	瞬间
trick	招
tricked	欺骗
trickle	扑簌
trickling	涓涓
tricks	招数
tried	尝试
trifle	琐事
trim	修剪
trip	旅
tripped	绊倒
triumph	胜利
triumphantly	胜利地
trot	小跑
trotted	抛出
trouble	麻烦
trouncing	痛击
trouser	裤子
truce	休战
truck	卡车
trucked	用卡车运
true	真
truly	真
trunk	树干
trunks	树干
trust	信任
try	尝试
trying	尝试
tuckered	tuckered
tuition	学费
tumbled	重挫
turn	转
turned	转身
twelve	十二
twenty	二十
twenty-five	二十五
twice	两次
twilight	黄昏
twist	捻
twisted	双绞线
twitching	抽搐
two	二
type	类型
ultimately	最终
unable	无法
unaffected	不受影响
unafraid	毫无惧色
unaided	独立的
unaltered	不变
unapproachable	难以接近
unaware	不知道
unbreakable	牢不可破
unbridled	肆无忌惮
unbroken	绵绵
unbuilt	未有建筑物
uncanny	神秘的
uncharted	未知
uncles	叔叔
uncoiled	开卷
unconcern	漫不经心
unconscious	无意识
unconsciously	不知不觉
uncontent	uncontent
uncouth	粗野
uncowed	uncowed
under	下
underbrush	草丛
underfeeding	吃不饱
underfoot	在脚下
undergrowth	发育不全
underhand	阴招
underneath	下
understand	了解
understanding	了解
understood	了解
undervalued	被低估
undesirable	不良
undid	解开
undreamed	做梦也想不到
unduly	过份
unearthed	出土
uneasily	不安
unending	无休止
unendurable	难以忍受
unexpected	意外
unfair	不公平
unfastened	解开
unfed	喂食物
unfinished	未完成
unforgetable	难忘
unheeded	无人理睬
unhesitatingly	顺口
unhitched	unhitched
universal	普及
unjust	不公
unkempt	蓬头垢面
unknown	未知
unlike	不像
unloaded	卸载
unlucky	不幸的
unmistakable	不会错的
unmolested	不受干扰
unnumbered	没有门牌
unpacked	解压缩
unpleasantly	令人不快
unpursued	冷门
unresisting	不抵抗
unrest	动荡
unrested	unrested
unruly	不羁
unseen	看不见
unsuspected	没有料到
unswerving	坚定不移
until	直到
unto	对
untold	数不清
untouched	不变
untreated	未经处理的
unusually	不寻常
unutterable	难言
unuttered	无言
unwashed	洗过
unwieldy	笨重
unwilling	不甘
unwillingly	不情愿
unwittingly	不知不觉
unwonted	少有
up	上
upon	上
uppermost	至上
upright	直立
uproar	骚动
uproariously	噱头
upstanding	正直
upward	向上
urgent	紧急
us	我们
use	使用
used	使用
usual	通常
usurp	篡夺
utensils	餐具
uttered	说出
uttering	说出
utterly	完全
vague	模糊
vaguely	依稀
vain	虚
vainly	枉然的
valley	谷
valleys	山谷
valor	勇气
vanish	消失
various	各个
varying	不同
vast	广阔
vastness	广大
vaunt	夸
veered	转向
vegetable	蔬菜
veins	纹
venom	毒液
ventured	冒险
veranda	阳台
very	很
vexation	烦恼
vibrant	充满活力
vicarious	代人受过
vicious	狠毒
victim	受害者
view	视图
views	意见
vigil	守夜
vigilant	警惕
vigils	守夜
vigor	活力
vigorously	大力
vilely	vilely
village	村
vine-clad	藤包
vines	藤蔓
violently	猛烈
virgin	处女
virility	壮阳
virtue	美德
visible	可见
vision	视力
visions	愿景
visitor	游客
vital	至关重要
vitality	活力
voice	声音
voiced	讲
voices	声音
void	无效，空虚，空间
volcanoes	火山
voracious	贪心，食欲旺盛的,渴求的
wager	赌注，以…为赌注
wages	"工资，
工钱"
wagged	摇摆，摇动
wagon	四轮运货马车， 货车 
wailing	极好的（青少年用语) 
wailings	嚎啕声 ，呼啸声
waited	等待，等待时间
waiting	等候，等待的
wake	唤醒，醒来
wakens	弱化
waking	"醒来, 醒觉，唤醒
"
walk	走, 散步 
walked	走了,步态 
wall	墙，城墙 
walls	墙壁
wan	苍白， 微弱的，暗淡的 
wandered	逛到，漫游
wandering	飘零，漫游,闲逛 
want	想要，需要
wanted	"通缉，受通缉的
"
wantonness	放荡，浪费时间，虚度光阴 
war	战争
warily	"小心翼翼地，谨小慎微地
"
warm	温暖，热情的，暖和的
war-mad	EL
warmed	回暖， 温热的
warmer	使热的人（或物）；取暖器，加温器
warmly	热烈，热情地
warning	警告，预兆
wary	警惕，谨慎
was	是
wash	洗，涡流，洗净
washed	洗，洗的
washes	"洗，洗涤物
"
washing	洗涤，待洗衣物 
washing-pan	洗涤锅
waste	浪费，失去
wasted	浪费，挥霍的；滥用的
watch	看，手表
watched	观看，监视
watchful	注意的，留心的
watching	看
water	水，给…浇水
watercourses	水道，渠道
watering	洒水,灌水,浇水
watershed	分水岭，分界线，分水界
watery	含水，水状的
wave	波，挥动，风潮
waves	波浪，挥
waving	挥舞着， 晃动
waxed	打蜡
way	方法，路
wayfarers	过路人， 步行者，徒步者
ways	方法，距离,路程
we	我们，咱们
weak	弱，疲软的
weaker	弱，懦弱的
weakly	弱，怯懦地
weakness	弱点，薄弱
wearing	穿着，穿著的,穿戴的
weary	厌倦，疲劳的
wearying	令人厌倦
weather	天气
weazened	EL
web	网
webbed	蹼，网状的，蜘蛛网状的
wedges	楔子，三角木
week	周
weeks	"威克斯（在美国，西经 91°49' 北纬 29°50'）
"
week's	本周
weeping	落泪的,哭泣的;悲哀的
weighed	权衡， 称…的重量
weight	重量
weird	怪异，古怪的 
welfare	福利，(social aid) 福利救济[英 = social security]
well	好
we'll	我们将，我们会
went	去
wept	哭泣
were	是
western	西方，西方国家
wet	湿，多雨的
we've	我们已经
whale	鲸鱼
whaling	捕鲸，惠林
what	什么，啥
whatever	任何
what's	什么是
wheedlingly	wheedlingly
wheel	轮，舵轮
wheel-dog	轮狗
wheeler	三轮车，（马车的）辕马，后马
when	何时，什么时候
whenever	每当
where	哪里，哪儿
whereat	为什么,为何【使用说明】疑问副词
wherefore	因此， 缘故,理由
wherein	其中，在那方面，在那里，在那种情况下
whereupon	于是，于是,因此,据此;随后【使用说明】关系副词
wherever	无论在哪里
whether	是否
which	哪，哪个
whichever	任何
whiff	喷气，吸入；嗅到
while	而，当…的时候，一会儿
whim	一时的兴致
whimpered	呜咽，呜咽声
whimpering	呜咽，呜咽声
whine	发牢骚，哀鸣
whined	发牢骚，哀鸣
whining	发牢骚，哀鸣
whip	鞭，鞭打，马鞭
whipped	鞭打
whipping	鞭打
whips	鞭子
whipsawed	双重损失的（因急欲补偿损失低价出售同一种证券而招致双重损失的）
whirl	回旋，旋转
whirled	回旋，旋转
whirlwind	旋风，旋风式的，急剧的
whisper	耳语，悄声说出
whispered	低声说
whistling	吹口哨;吹哨子;(似)口哨的声音
white	白
white-fanged	EL
white-hot	 白热的;热烈的,炽烈的
whiteness	清白，纯洁，无暇
whittled	喝醉酒的
whittling	削减/消耗某物
who	谁
whoa	哇，吁!叫马等停下的吆喝声
whoever	谁，无论谁
whole	整个
whom	(interrogative) 谁
whoop	叫喊，高喊，高叫
who's	谁
whose	谁的
whoso	【同义词】whoever；whosoeve
why	为什么
wide	宽
wide-eared	宽耳
wide-eyed	(因惊讶、好奇等)睁大眼睛的;惊讶的;朴素的,纯真的
wide-spreading	广泛蔓延
wielded	挥起， 行使
wife	妻子，老婆
wild	 野生的，荒芜的，
wilder	 (使)迷路;(使)迷惑
wilderness	荒野
wildfowl	野禽
wild-fowl	野生禽
wildly	疯狂，狂热地
wildness	野性， 狂暴，激烈，猛烈
wiliness	狡猾，奸诈，诡计多端
will	将，会，遗嘱
willing	愿意
willow	柳树
willows	柳树
win	赢，胜
wind	风
winded	嗦，喘气的；上气不接下气的；呼吸急促的
windows	窗口，窗户
winds	风
winking	眨眼，瞬目
winter	冬天
winters	冬天
wintry	寒冬，冬天的；冬天般的；寒冷的
wiped	歼灭，抹掉
wiping	抹，擦
wisdom	智慧，明智
wise	明智，睿智
wish	希望，愿望
wished	希望，愿望
wistfully	渴望地，渴求地
with	同，随着，陪同
withheld	拒绝提供
within	内，在…之内， 在…里面
without	无，没有
withstanding	"承受，经受住
"
witness	见证，目击
witnessed	见证，目击者
wives	妻子，老婆（复数）
woe	荣辱与共，悲哀
wolf	狼
wolf-cry	wolf-cry
wolfish	狼的；狼似的；残暴的；贪婪的
wolflike	wolflike
wolverenes	wolverenes
wolves	狼（复数）
woman	女人，妇女
womanhood	 成年女子的身份或状态 
womb	子宫
women	女性，女人，女孩，妇女（复数）
won	"
win的过去式和过去分词 ,韩元
"
wonder	怀疑，奇迹，感到奇怪
wondered	想知道
wonderful	精彩，绝妙的
wont	习惯，习俗；习以为常的事
won't	不会
wonted	通常的；惯常的；习惯性的；习以为常的
wood	木材，树林
wooded	多树木
woodpeckers	"啄木鸟，亚目
"
woods	树林
woody	木制的，木头的，像木头的
word	字，词
words	话
wore	穿（过去式）
work	工作
worked	工作
worker	工人
working	工作的
world	世界
wormed	驱虫，蠕虫病毒
worn	 wear的过去分词，用旧的
worn-out	破旧，疲惫不堪的
worried	担心
worry	担心
worrying	令人担忧
worse	更坏，更差
worshipful	崇拜，虔诚
worst	最差，最坏
worth	价值
worthily	不愧，值得地，相当地
worthless	"毫无价值的
"
wot	wot
would	将（过去式）
wouldn't	不会（过去式）
wound	伤口
wounded	负伤，受伤的
wounds	伤口
wraith	幽灵， 鬼，幻影
wrangled	争吵，吵架，争执，口角
wrap	包裹，打包
wrapped	包裹
wrappings	包装纸，绷带，包装带
wrath	愤怒，复仇，报复；惩罚
wreckage	残骸，废墟
wrenched	扭，扭伤
wrenching	痛苦， 猛扭
wrestled	摔跤，打架
wrestling	"
摔跤
"
wretched	可怜，悲惨的
wriggled	扭腰，扭动
wrinkled	起皱的，满脸皱纹的
writhed	翻腾，蠕动，蠕行
writhing	扭动着，蠕动，蠕行
written	书面的，write的过去分词 ,写
wrong	错误
wrote	写道，write的过去式
wrought	锻，精心做成的;精心制作的;装饰精美的;精致的
yard	院子
yards	院子
yawn	打哈欠
yawned	打着哈欠
yawning	打哈欠
year	年
yearning	怀念，渴望；向往，思慕；想念
yearnings	系往,热望,思慕
years	岁月
yellow	黄色
yelp	狗吠声
yelped	叫着
yelping	汪汪地叫。
yelps	狗吠
yep	没错
yet	尚，还
you	您，你
you'd	you'd
you'll	你会
young	年轻
younger	年轻的
youngster	少年，小孩
your	您的，你的
you're	你是，您是
youth	青年
you've	你有，你已经，你曾经
zeal	热情
zero	零
